2026-06-28 23:39:44 | Upload | Hàm Băm.pdf | CloudA | Success
2026-06-28 23:39:44 | Upload | Hàm Băm.pdf | CloudB | Success
2026-06-28 23:39:44 | Upload | Hàm Băm.pdf | CloudC | Success
2026-06-28 23:49:09 | Upload | TRR_CHƯƠNG 2_1.pptx | CloudA | Success
2026-06-28 23:49:09 | Upload | TRR_CHƯƠNG 2_1.pptx | CloudB | Success
2026-06-28 23:49:09 | Upload | TRR_CHƯƠNG 2_1.pptx | CloudC | Success
2026-06-29 00:04:08 | Recovery | Hàm Băm.pdf | CloudA | Recovered
2026-06-29 00:06:52 | Recovery | Hàm Băm.pdf | CloudA | Recovered
2026-07-07 20:44:12 | Upload | Nhóm 6 .pdf | CloudA | Success
2026-07-07 20:44:12 | Upload | Nhóm 6 .pdf | CloudB | Success
2026-07-07 20:44:12 | Upload | Nhóm 6 .pdf | CloudC | Success
2026-07-07 22:07:01 | Upload | Nhóm 6 .pdf | CloudA | Success
2026-07-07 22:07:01 | Upload | Nhóm 6 .pdf | CloudB | Success
2026-07-07 22:07:01 | Upload | Nhóm 6 .pdf | CloudC | Success
